code	char	left	ink	adv
0156	ほ	0	11	12
0157	ぼ	0	11	12
0158	ぽ	0	11	12
0159	ま	1	9	10
015A	み	0	11	12
015B	む	0	11	12
015C	め	0	11	12
015D	も	1	9	10
015E	ゃ	1	8	9
015F	や	0	11	12
0160	ゅ	2	7	8
0161	ゆ	0	10	11
0162	ょ	2	8	9
0163	よ	1	9	10
0164	ら	1	9	10
0165	り	2	7	8
0166	る	1	9	10
0167	れ	0	11	12
0168	ろ	1	9	10
0169	ゎ	2	7	8
016A	わ	0	11	12
016B	ゐ	0	10	11
016C	ゑ	0	11	12
016D	を	1	9	10
016E	ん	0	11	12
017A	ァ	1	8	9
017B	ア	1	10	11
017C	ィ	2	7	8
017D	イ	0	9	10
017E	ゥ	2	7	8
017F	ウ	1	9	10
0180	ェ	2	7	8
0181	エ	1	10	11
0182	ォ	1	8	9
0183	オ	0	10	11
0184	カ	1	9	10
0185	ガ	1	10	11
0186	キ	0	11	12
0187	ギ	0	11	12
0188	ク	1	9	10
0189	グ	1	10	11
018A	ケ	0	10	11
018B	ゲ	0	11	12
018C	コ	1	9	10
018D	ゴ	1	10	11
018E	サ	0	11	12
018F	ザ	0	11	12
0190	シ	1	10	11
0191	ジ	1	10	11
0192	ス	0	10	11
0193	ズ	0	11	12
0194	セ	0	10	11
0195	ゼ	0	11	12
0196	ソ	1	9	10
0197	ゾ	1	10	11
0198	タ	1	8	9
0199	ダ	1	10	11
019A	チ	1	10	11
019B	ヂ	0	11	12
019C	ッ	2	7	8
019D	ツ	1	9	10
019E	ヅ	1	10	11
019F	テ	1	10	11
01A0	デ	0	11	12
01A1	ト	4	5	6
01A2	ド	4	6	7
01A3	ナ	0	10	11
01A4	ニ	1	10	11
01A5	ヌ	1	9	10
01A6	ネ	0	10	11
01A7	ノ	1	7	8
01A8	ハ	0	10	11
01A9	バ	0	11	12
01AA	パ	0	11	12
01AB	ヒ	2	8	9
01AC	ビ	2	9	10
01AD	ピ	2	9	10
01AE	フ	1	9	10
01AF	ブ	1	10	11
01B0	プ	1	10	11
01B1	ヘ	0	10	11
01B2	ベ	0	10	11
01B3	ペ	0	10	11
01B4	ホ	1	9	10
01B5	ボ	1	10	11
01B6	ポ	1	10	11
01B7	マ	0	10	11
01B8	ミ	2	7	8
01BA	ム	0	11	12
01BB	メ	1	8	9
01BC	モ	1	10	11
01BD	ャ	2	7	8
01BE	ヤ	0	11	12
01BF	ュ	1	8	9
01C0	ユ	0	11	12
01C1	ョ	3	6	7
01C2	ヨ	2	8	9
01C3	ラ	1	9	10
01C4	リ	2	7	8
01C5	ル	0	11	12
01C6	レ	3	8	9
01C7	ロ	1	9	10
01C8	ヮ	2	7	8
01C9	ワ	1	9	10
01CA	ヰ	0	11	12
01CB	ヱ	0	11	12
01CC	ヲ	2	8	9
01CD	ン	1	9	10
01CE	ヴ	1	10	11
01CF	ヵ	2	7	8
01D0	ヶ	2	7	8
01D9	Α	0	9	10
01DA	Β	2	6	7
01DB	Γ	2	6	7
01DC	Δ	1	9	10
01DD	Ε	2	6	7
01DE	Ζ	2	7	8
01DF	Η	2	7	8
01E0	Θ	1	8	9
01E1	Ι	4	3	4
01E2	Κ	2	7	8
01E3	Λ	1	9	10
01E4	Μ	1	9	10
01E5	Ν	2	7	8
01E6	Ξ	2	7	8
01E7	Ο	1	8	9
01E8	Π	2	7	8
01E9	Ρ	2	7	8
01EA	Σ	2	7	8
01EB	Τ	2	7	8
01EC	Υ	2	7	8
01ED	Φ	2	7	8
01EE	Χ	2	7	8
01EF	Ψ	1	9	10
01F0	Ω	1	8	9
01F9	α	1	9	10
01FA	β	2	6	7
01FB	γ	1	8	9
01FC	δ	2	7	8
01FD	ε	3	5	6
01FE	ζ	3	6	7
01FF	η	2	7	8
0200	c	4	5	6
0201	d	3	6	7
0202	e	4	5	6
0203	f	4	4	5
0204	g	3	6	7
0205	h	3	5	6
0206	i	6	1	2
0207	j	4	3	4
0208	k	4	5	6
0209	l	6	1	2
020A	m	1	9	10
020B	n	3	5	6
020C	o	3	6	7
020D	p	3	6	7
020E	q	3	6	7
020F	r	5	4	5
0210	s	3	6	7
0211	t	4	4	5
0212	u	3	5	6
0213	v	3	5	6
0214	w	1	9	10
0215	x	3	6	7
0216	y	3	5	6
0217	z	3	5	6
0219	♥	0	11	12
021C	ぁ	2	8	9
021D	あ	1	10	11
021E	ぃ	1	8	9
021F	い	1	10	11
0220	ぅ	2	6	7
0221	う	2	7	8
0222	ぇ	2	8	9
0223	え	1	10	11
0224	ぉ	1	9	10
0225	お	0	10	11
0226	か	0	11	12
0227	が	0	11	12
0228	き	1	9	10
0232	し	2	8	9
023D	ぢ	1	10	11
023E	っ	2	7	8
0240	づ	0	11	12
0256	ほ	0	11	12
025E	ゃ	1	8	9
025F	や	0	11	12
026A	わ	0	11	12
026B	ゐ	0	10	11
026C	ゑ	0	11	12
026D	を	1	9	10
026E	ん	0	11	12
027A	ァ	1	8	9
027B	ア	1	10	11
0288	ク	1	9	10
028C	コ	1	9	10
029A	チ	1	10	11
02A0	デ	0	11	12
02B0	プ	1	10	11
02B8	ミ	2	7	8
02C0	ユ	0	11	12
02C4	リ	2	7	8
02CB	ヱ	0	11	12
02CC	ヲ	2	8	9
02CD	ン	1	9	10
02CE	ヴ	1	10	11
02CF	ヵ	2	7	8
02D0	ヶ	2	7	8
02D9	A	0	9	10
02DA	B	2	6	7
02DB	Γ	2	6	7
02DC	Δ	1	9	10
02DD	Ε	2	6	7
02DE	Ζ	2	7	8
02DF	Η	2	7	8
02E0	Θ	1	8	9
02E1	Ι	4	3	4
02E2	Κ	2	7	8
02E3	Λ	1	9	10
02E4	Μ	1	9	10
02E5	Ν	2	7	8
02E6	Ξ	2	7	8
02E7	Ο	1	8	9
02E8	Π	2	7	8
02E9	Ρ	2	7	8
02EA	Σ	2	7	8
02EB	Τ	2	7	8
02EC	Υ	2	7	8
02ED	Φ	2	7	8
02EE	Χ	2	7	8
02EF	Ψ	1	9	10
02F0	Ω	1	8	9
02F9	α	1	9	10
02FA	β	2	6	7
02FB	γ	1	8	9
02FC	δ	2	7	8
02FD	ε	3	5	6
02FE	ζ	3	6	7
02FF	η	2	7	8
0471	④	0	11	12
0472	⑤	0	11	12
0473	⑥	0	11	12
0474	⑦	0	11	12
0475	⑧	0	11	12
0476	⑨	0	11	12
0477	⑩	0	11	12
0478	⑪	0	11	12
0479	⑫	0	11	12
047A	⑬	0	11	12
047B	⑭	0	11	12
047C	⑮	0	11	12
047D	⑯	0	11	12
047E	⑰	0	11	12
047F	⑱	0	11	12
0480	⑲	0	11	12
0481	⑳	0	11	12
0482	Ⅰ	4	3	4
0483	II	2	6	7
0484	Ⅲ	1	9	10
0485	Ⅳ	0	11	12
0486	Ⅴ	1	9	10
0487	Ⅵ	0	11	12
0488	Ⅶ	0	11	12
0489	Ⅷ	0	11	12
048A	Ⅸ	1	9	10
048B	Ⅹ	1	8	9
048D	ミリ	0	11	12
048E	キロ	0	11	12
048F	センチ	0	11	12
0490	メートル	0	11	12
0491	グラム	0	11	12
0492	トン	1	10	11
0493	アール	0	10	11
0494	ヘクタル	0	11	12
0495	リットル	1	10	11
0496	ワット	0	11	12
0497	カロリー	0	11	12
0498	ドル	1	10	11
0499	セント	0	11	12
049A	パーセント	0	11	12
049C	ページ	0	11	12
049D	㎜	0	11	12
049E	㎝	0	11	12
049F	㎞	0	11	12
04A0	㎎	0	11	12
04A1	㎏	0	11	12
04A2	㏄	0	11	12
04A3	㎡	0	11	12
04AC	戟	0	11	12
04AE	”	7	4	5
04AF	„	1	4	5
04B0	Na	0	11	12
04B1	KK	0	11	12
04B2	℡	0	11	12
04B3	檜	0	11	12
04B4	棍	0	11	12
04B5	霆	0	11	12
04B6	偃	0	11	12
04B7	蟲	0	11	12
04B8	痺	0	11	12
04B9	蝎	0	11	12
04BA	髑	0	11	12
04BB	髏	0	11	12
0579	炸	0	11	12
057A	蛆	0	11	12
057B	皴	0	11	12
057C	貶	0	11	12
057D	璧	0	11	12
057E	兌	0	11	12
057F	敖	0	11	12
0580	跋	0	11	12
0581	媚	0	11	12
058A	亜	0	11	12
058C	娃	0	11	12
058D	阿	0	11	12
058E	哀	0	11	12
058F	愛	0	11	12
0590	挨	0	11	12
0594	茜	0	11	12
0596	悪	0	11	12
0597	握	0	11	12
0598	渥	0	11	12
059A	葦	0	11	12
059E	圧	0	11	12
05A0	扱	0	11	12
05A8	或	0	11	12
05AB	安	0	11	12
05AE	暗	0	11	12
05AF	案	0	11	12
05B0	闇	0	11	12
05B1	鞍	0	11	12
05B3	以	0	11	12
05B4	伊	0	11	12
05B5	位	0	11	12
05B6	依	0	11	12
05B7	偉	0	11	12
