code	char	left	ink	adv
0902	糠	0	11	12
0903	紅	0	11	12
0904	紘	0	11	12
0906	綱	0	11	12
0907	耕	0	11	12
0908	考	0	11	12
090C	膏	0	11	12
090E	荒	0	11	12
090F	行	0	11	12
0911	講	0	11	12
0912	貢	0	11	12
0913	購	0	11	12
0915	酵	0	11	12
0916	鉱	0	11	12
0918	鋼	0	11	12
091A	降	0	11	12
091C	項	0	11	12
091D	香	0	11	12
091E	高	0	11	12
0920	剛	0	11	12
0921	劫	0	11	12
0922	号	0	11	12
0923	合	0	11	12
0924	壕	0	11	12
0925	拷	0	11	12
092B	刻	0	11	12
092C	告	0	11	12
092D	国	0	11	12
092E	穀	0	11	12
092F	酷	0	11	12
0930	鵠	0	11	12
0931	黒	0	11	12
0932	獄	0	11	12
0934	腰	0	11	12
0937	惚	0	11	12
0938	骨	0	11	12
093A	込	0	11	12
093C	頃	0	11	12
093D	今	0	11	12
093E	困	0	11	12
093F	坤	0	11	12
0941	婚	0	11	12
0942	恨	0	11	12
0944	昏	0	11	12
0946	根	0	11	12
0948	混	0	11	12
094C	魂	0	11	12
094E	佐	0	11	12
094F	叉	0	11	12
0950	唆	0	11	12
0952	左	0	11	12
0953	差	0	11	12
0954	査	0	11	12
0955	沙	0	11	12
0956	瑳	0	11	12
0957	砂	0	11	12
0959	鎖	0	10	11
095C	座	0	11	12
095E	債	0	11	12
095F	催	0	11	12
0960	再	0	11	12
0961	最	0	11	12
0964	妻	0	11	12
0966	彩	0	11	12
0967	才	0	11	12
096A	歳	0	11	12
096B	済	0	11	12
096C	災	0	11	12
096F	砕	0	11	12
0970	砦	0	11	12
0971	祭	0	11	12
0973	細	0	11	12
0975	裁	0	11	12
0976	載	0	11	12
0977	際	0	11	12
0978	剤	0	11	12
0979	在	0	11	12
097A	材	0	11	12
097B	罪	0	11	12
097C	財	0	11	12
097E	坂	0	11	12
0982	肴	0	11	12
0987	鷺	0	11	12
0988	作	0	11	12
0989	削	0	11	12
098A	咋	0	11	12
098C	昨	0	11	12
0990	策	0	11	12
0991	索	0	11	12
0994	鮭	0	11	12
0999	察	0	11	12
099A	拶	0	11	12
099C	擦	0	11	12
099D	札	0	11	12
099E	殺	0	11	12
099F	薩	0	11	12
09A0	雑	0	11	12
09A6	皿	0	11	12
09A8	三	0	11	12
09AA	参	0	11	12
09AB	山	0	11	12
09AC	惨	0	11	12
09AD	撒	0	11	12
09AE	散	0	11	12
09B1	珊	0	11	12
09B2	産	0	11	12
09B3	算	0	11	12
09B6	讃	0	11	12
09B7	賛	0	11	12
09BA	斬	0	11	12
09BC	残	0	11	12
09BD	仕	0	11	12
09BF	伺	0	11	12
09C0	使	0	11	12
09C1	刺	0	11	12
09C2	司	0	11	12
09C3	史	0	11	12
09C5	四	0	10	11
09C6	士	0	11	12
09C7	始	0	11	12
09C8	姉	0	11	12
09C9	姿	0	11	12
09CA	子	0	11	12
09CB	屍	0	11	12
09CC	市	0	11	12
09CD	師	0	11	12
09CE	志	0	11	12
09CF	思	0	11	12
09D0	指	0	11	12
09D1	支	0	11	12
09D4	施	0	11	12
09D6	枝	0	11	12
09D7	止	0	11	12
09D9	死	0	11	12
09DA	氏	0	11	12
09DB	獅	0	11	12
09DD	私	0	11	12
09DE	糸	0	11	12
09DF	紙	0	11	12
09E1	肢	0	11	12
09E3	至	0	11	12
09E4	視	0	11	12
09E6	詩	0	11	12
09E7	試	0	11	12
09E8	誌	0	11	12
09EC	雌	0	11	12
09ED	飼	0	11	12
09EE	歯	0	11	12
09EF	事	0	11	12
09F0	似	0	11	12
09F2	児	0	11	12
09F3	字	0	11	12
09F4	寺	0	11	12
09F5	慈	0	11	12
09F6	持	0	11	12
09F7	時	0	11	12
09F8	次	0	11	12
09FA	治	0	11	12
09FF	示	0	11	12
0A00	而	0	11	12
0A01	耳	0	11	12
0A02	自	1	8	9
0A03	蒔	0	11	12
0A04	辞	0	11	12
0A06	鹿	0	11	12
0A07	式	0	11	12
0A08	識	0	11	12
0A0B	軸	0	11	12
0A0E	七	0	11	12
0A0F	叱	0	11	12
0A10	執	0	11	12
0A11	失	0	11	12
0A12	嫉	0	11	12
0A13	室	0	11	12
0A16	漆	0	11	12
0A17	疾	0	11	12
0A18	質	0	11	12
0A19	実	0	11	12
0A1A	蔀	0	11	12
0A22	舎	0	11	12
0A24	射	0	11	12
0A25	捨	0	11	12
0A26	赦	0	11	12
0A29	社	0	11	12
0A2B	者	0	11	12
0A2C	謝	0	11	12
0A2D	車	0	11	12
0A2E	遮	0	11	12
0A2F	蛇	0	11	12
0A30	邪	0	11	12
0A33	尺	0	11	12
0A34	杓	0	11	12
0A35	灼	0	11	12
0A36	爵	0	11	12
0A37	酌	0	11	12
0A38	釈	0	11	12
0A3A	若	0	11	12
0A3B	寂	0	11	12
0A3C	弱	0	11	12
0A3E	主	0	11	12
0A3F	取	0	11	12
0A40	守	0	11	12
0A41	手	0	11	12
0A42	朱	0	11	12
0A43	殊	0	11	12
0A44	狩	0	11	12
0A45	珠	0	11	12
0A46	種	0	11	12
0A48	趣	0	11	12
0A49	酒	0	11	12
0A4A	首	0	11	12
0A4C	受	0	11	12
0A4D	呪	0	11	12
0A4E	寿	0	11	12
0A4F	授	0	11	12
0A50	樹	0	11	12
0A53	囚	0	11	12
0A54	収	0	11	12
0A55	周	0	11	12
0A56	宗	0	11	12
0A57	就	0	11	12
0A59	修	0	11	12
0A5B	拾	0	11	12
0A5C	洲	0	11	12
0A5D	秀	0	11	12
0A5E	秋	0	11	12
0A5F	終	0	11	12
0A61	習	0	11	12
0A62	臭	0	11	12
0A63	舟	0	11	12
0A65	衆	0	11	12
0A66	襲	0	11	12
0A67	讐	0	11	12
0A68	蹴	0	11	12
0A6A	週	0	11	12
0A6D	集	0	11	12
0A6E	醜	0	11	12
0A70	住	0	11	12
0A71	充	0	11	12
0A72	十	0	11	12
0A73	従	0	11	12
0A74	戎	0	11	12
0A75	柔	0	11	12
0A77	渋	0	11	12
0A78	獣	0	11	12
0A79	縦	0	11	12
0A7A	重	0	11	12
0A7B	銃	0	11	12
0A7C	叔	0	11	12
0A7E	宿	0	11	12
0A80	祝	0	11	12
0A82	粛	0	11	12
0A84	熟	0	11	12
0A85	出	0	11	12
0A86	術	0	11	12
0A87	述	0	11	12
0A8A	春	0	11	12
0A8B	瞬	0	11	12
0A8F	准	0	11	12
0A90	循	0	11	12
0A93	殉	0	11	12
0A96	準	0	11	12
0A98	盾	0	11	12
0A99	純	0	11	12
0A9A	巡	0	11	12
0A9D	順	0	11	12
0A9E	処	0	11	12
0A9F	初	0	11	12
0AA0	所	0	11	12
0AA1	暑	0	11	12
0AA4	庶	0	11	12
0AA5	緒	0	11	12
0AA7	書	0	11	12
0AAA	諸	0	11	12
0AAB	助	0	11	12
0AAC	叙	0	11	12
0AAD	女	0	11	12
0AAE	序	0	11	12
0AB2	除	0	11	12
0AB3	傷	0	11	12
0AB4	償	0	11	12
0AB5	勝	0	11	12
0AB8	召	0	11	12
0ABA	商	0	11	12
0ABB	唱	0	11	12
0AC0	宵	0	11	12
0AC1	将	0	11	12
0AC2	小	0	11	12
0AC3	少	0	11	12
0AC4	尚	0	11	12
0AC6	床	0	11	12
0AC9	承	0	11	12
0ACB	招	0	11	12
0ACC	掌	0	11	12
0ACE	昇	0	11	12
0AD3	梢	0	11	12
0AD4	樟	0	11	12
0AD6	沼	0	11	12
0AD7	消	0	11	12
0AD8	渉	0	11	12
0ADA	焼	0	11	12
0ADC	照	0	11	12
0AE0	礁	0	11	12
0AE1	祥	0	11	12
0AE2	称	0	11	12
0AE3	章	0	11	12
0AE4	笑	0	11	12
0AE6	紹	0	11	12
0AE8	菖	0	11	12
0AEB	衝	0	11	12
0AEE	証	0	11	12
0AF0	詳	0	11	12
0AF1	象	0	11	12
0AF2	賞	0	11	12
0AF6	鐘	0	11	12
0AF7	障	0	11	12
0AF9	上	0	11	12
0AFA	丈	0	11	12
0AFC	乗	0	11	12
0AFE	剰	0	11	12
0AFF	城	0	11	12
0B00	場	0	11	12
0B02	嬢	0	11	12
0B03	常	0	11	12
0B04	情	0	11	12
0B06	条	0	11	12
0B07	杖	0	11	12
0B08	浄	0	11	12
0B09	状	0	11	12
0B0B	穣	0	11	12
0B0C	蒸	0	11	12
0B0D	譲	0	11	12
0B10	嘱	0	11	12
0B12	飾	0	11	12
0B14	植	0	11	12
0B15	殖	0	11	12
0B16	燭	0	11	12
0B17	織	0	11	12
0B18	職	0	11	12
0B19	色	0	11	12
0B1A	触	0	11	12
0B1B	食	0	11	12
0B1E	尻	0	11	12
0B1F	伸	0	11	12
0B20	信	0	11	12
0B21	侵	0	11	12
0B23	娠	0	11	12
0B24	寝	0	11	12
0B25	審	0	11	12
0B26	心	0	11	12
0B27	慎	0	11	12
0B28	振	0	11	12
0B29	新	0	11	12
0B2B	森	0	11	12
0B2C	榛	0	11	12
0B2D	浸	0	11	12
0B2E	深	0	11	12
0B2F	申	1	9	10
0B31	真	0	11	12
0B32	神	0	11	12
0B38	親	0	11	12
0B3A	身	0	11	12
0B3B	辛	0	11	12
0B3C	進	0	11	12
0B3D	針	0	11	12
0B3E	震	0	11	12
0B3F	人	0	11	12
0B40	仁	0	11	12
0B41	刃	0	10	11
0B44	尋	0	11	12
0B46	尽	0	11	12
0B4A	陣	0	11	12
0B4B	靭	0	11	12
0B4D	諏	0	11	12
0B4E	須	0	11	12
0B50	図	0	11	12
0B54	吹	0	11	12
0B55	垂	0	11	12
0B56	帥	0	11	12
0B57	推	0	11	12
0B58	水	0	11	12
0B5A	睡	0	11	12
0B5C	翠	0	11	12
0B5D	衰	0	11	12
0B5E	遂	0	11	12
0B5F	酔	0	11	12
0B62	随	0	11	12
0B63	瑞	0	11	12
0B64	髄	0	11	12
0B65	崇	0	11	12
0B67	数	0	11	12
0B68	枢	0	11	12
0B6A	雛	0	11	12
0B70	雀	0	11	12
0B75	世	0	11	12
0B77	畝	0	11	12
0B78	是	0	11	12
0B79	凄	0	11	12
0B7A	制	0	11	12
0B7B	勢	0	11	12
0B7D	征	0	11	12
0B7E	性	0	11	12
0B7F	成	0	11	12
0B80	政	0	11	12
0B81	整	0	11	12
0B82	星	0	11	12
0B83	晴	0	11	12
0B84	棲	0	11	12
0B86	正	0	11	12
0B87	清	0	11	12
0B88	牲	0	11	12
0B89	生	0	11	12
0B8A	盛	0	11	12
0B8B	精	0	11	12
0B8C	聖	0	11	12
0B8D	声	0	11	12
0B8E	製	0	11	12
0B8F	西	0	11	12
0B90	誠	0	11	12
0B91	誓	0	11	12
0B95	青	0	11	12
0B97	斉	0	11	12
0B98	税	0	11	12
0B9A	隻	0	11	12
0B9C	惜	0	11	12
0B9F	昔	0	11	12
0BA0	析	0	11	12
0BA1	石	0	11	12
0BA2	積	0	11	12
0BA6	責	0	11	12
0BA7	赤	0	11	12
0BA8	跡	0	11	12
0BAB	切	0	11	12
0BAD	接	0	11	12
0BAE	摂	0	11	12
0BAF	折	0	11	12
0BB0	設	0	11	12
0BB2	節	0	11	12
0BB3	説	0	11	12
0BB4	雪	0	11	12
0BB5	絶	0	11	12
0BB6	舌	0	11	12
0BB8	仙	0	11	12
0BB9	先	0	11	12
0BBA	千	0	11	12
0BBB	占	1	9	10
0BBC	宣	0	11	12
0BBD	専	0	11	12
0BBE	尖	0	11	12
0BBF	川	0	10	11
0BC0	戦	0	11	12
0BC1	扇	0	11	12
0BC3	栓	0	11	12
0BC5	泉	0	11	12
0BC6	浅	0	11	12
0BC7	洗	0	11	12
0BC8	染	0	11	12
0BC9	潜	0	11	12
0BCC	旋	0	11	12
0BCF	線	0	11	12
0BD4	船	0	11	12
0BD9	選	0	11	12
0BDE	鮮	0	11	12
0BDF	前	0	11	12
0BE0	善	0	11	12
0BE2	然	0	11	12
0BE3	全	0	11	12
0BE4	禅	0	11	12
0BE8	噌	0	11	12
0BEF	狙	0	11	12
0BF2	礎	0	11	12
0BF6	素	0	11	12
0BF7	組	0	11	12
0BF8	蘇	0	11	12
0BFA	阻	0	11	12
0BFC	鼠	0	11	12
0BFD	僧	0	11	12
0BFE	創	0	11	12
0BFF	双	0	11	12
0C00	叢	0	11	12
0C02	喪	0	11	12
0C04	奏	0	11	12
0C07	層	0	11	12
0C0A	想	0	11	12
0C0B	捜	0	11	12
0C10	操	0	11	12
0C11	早	0	11	12
0C13	巣	0	11	12
0C14	槍	0	11	12
0C18	争	0	11	12
0C19	痩	0	11	12
0C1A	相	0	11	12
0C1D	総	0	11	12
0C1E	綜	0	11	12
0C20	草	0	11	12
0C22	葬	0	11	12
0C24	藻	0	11	12
0C25	装	0	11	12
0C26	走	0	11	12
0C27	送	0	11	12
0C28	遭	0	11	12
0C2B	騒	0	11	12
0C2C	像	0	11	12
0C2D	増	0	11	12
0C2E	憎	0	11	12
0C2F	臓	0	11	12
0C30	蔵	0	11	12
0C31	贈	0	11	12
0C32	造	0	11	12
0C34	側	0	11	12
0C35	則	0	11	12
0C36	即	0	11	12
0C37	息	0	11	12
0C39	束	0	11	12
0C3A	測	0	11	12
0C3B	足	0	11	12
0C3C	速	0	11	12
0C3D	俗	0	11	12
0C3E	属	0	11	12
0C3F	賊	0	11	12
0C40	族	0	11	12
0C41	続	0	11	12
0C42	卒	0	11	12
0C45	揃	0	11	12
0C46	存	0	11	12
0C47	孫	0	11	12
0C48	尊	0	11	12
0C49	損	0	11	12
0C4A	村	0	11	12
0C4C	他	0	11	12
0C4D	多	0	11	12
0C4E	太	0	11	12
0C4F	汰	0	11	12
0C52	堕	0	11	12
0C54	惰	0	11	12
0C55	打	0	11	12
0C59	陀	0	11	12
0C5A	駄	0	11	12
0C5C	体	0	11	12
0C5E	対	0	11	12
0C5F	耐	0	11	12
0C61	帯	0	11	12
0C62	待	0	11	12
0C63	怠	0	11	12
0C64	態	0	11	12
0C65	戴	0	11	12
0C66	替	0	11	12
0C69	胎	0	11	12
0C6B	苔	0	11	12
0C6C	袋	0	11	12
0C6D	貸	0	11	12
0C6E	退	0	11	12
0C70	隊	0	11	12
0C73	代	0	11	12
0C74	台	0	11	12
0C75	大	0	11	12
0C76	第	0	11	12
0C78	題	0	11	12
0C79	鷹	0	11	12
0C7A	滝	0	11	12
0C7C	卓	0	11	12
0C7E	宅	0	11	12
0C80	択	0	11	12
0C82	沢	0	11	12
0C85	託	0	11	12
0C86	鐸	0	11	12
0C8C	只	0	11	12
0C8D	叩	0	11	12
0C8E	但	0	11	12
0C8F	達	0	11	12
0C90	辰	0	11	12
0C91	奪	0	11	12
0C92	脱	0	11	12
0C94	竪	0	11	12
0C97	谷	0	11	12
0C98	狸	0	11	12
0C99	鱈	0	11	12
0C9A	樽	0	11	12
0C9B	誰	0	11	12
0C9C	丹	0	11	12
0C9D	単	0	11	12
0C9E	嘆	0	11	12
0CA0	担	0	11	12
0CA1	探	0	11	12
0CA2	旦	0	11	12
0CA4	淡	0	11	12
0CA6	炭	0	11	12
0CA7	短	0	11	12
0CA8	端	0	11	12
0CAC	胆	0	11	12
0CAE	誕	0	11	12
0CAF	鍛	0	11	12
0CB0	団	0	11	12
0CB2	弾	0	11	12
0CB3	断	0	11	12
0CB4	暖	0	11	12
0CB5	檀	0	11	12
0CB6	段	0	11	12
0CB7	男	0	11	12
0CB8	談	0	11	12
0CB9	値	0	11	12
0CBA	知	0	11	12
0CBB	地	0	11	12
0CBD	恥	0	11	12
0CBE	智	0	11	12
0CBF	池	0	11	12
0CC2	置	0	11	12
0CC4	蜘	0	11	12
0CC5	遅	0	11	12
0CC6	馳	0	11	12
0CC7	築	0	11	12
0CC9	竹	0	11	12
0CCA	築	0	11	12
0CCB	蓄	0	11	12
0CCE	秩	0	11	12
0CD0	茶	0	11	12
0CD2	着	0	11	12
0CD3	中	0	11	12
0CD4	仲	0	11	12
0CD5	宙	0	11	12
0CD6	忠	0	11	12
0CD7	抽	0	11	12
0CD8	昼	0	11	12
0CD9	柱	0	11	12
0CDA	注	0	11	12
0CDB	虫	0	11	12
0CDE	酎	0	11	12
0CE3	猪	0	11	12
0CE5	著	0	11	12
0CE7	丁	0	11	12
0CE8	兆	0	11	12
0CEB	寵	0	11	12
0CEF	弔	0	11	12
0CF0	張	0	11	12
0CF2	徴	0	11	12
0CF3	懲	0	11	12
0CF4	挑	0	11	12
0CF6	朝	0	11	12
0CF9	町	0	11	12
0CFA	眺	0	11	12
0CFF	調	0	11	12
0D00	諜	0	11	12
0D01	超	0	11	12
0D02	跳	0	11	12
0D04	長	0	11	12
0D05	頂	0	11	12
0D06	鳥	0	11	12
0D09	直	0	11	12
0D0A	朕	0	11	12
0D0B	沈	0	11	12
0D0C	珍	0	11	12
0D0D	賃	0	11	12
0D0E	鎮	0	11	12
0D10	津	0	11	12
0D12	椎	0	11	12
0D13	槌	0	11	12
0D14	追	0	11	12
0D15	鎚	0	11	12
0D16	痛	0	11	12
0D17	通	0	11	12
0D18	塚	0	11	12
0D24	潰	0	11	12
0D26	壷	0	11	12
0D28	紬	0	11	12
0D29	爪	0	11	12
0D2A	吊	1	9	10
0D2B	釣	0	11	12
0D2E	低	0	11	12
0D2F	停	0	11	12
0D35	定	0	11	12
0D36	帝	0	11	12
0D37	底	0	11	12
0D38	庭	0	11	12
0D39	廷	0	11	12
0D3A	弟	0	11	12
0D3C	抵	0	11	12
0D3D	挺	0	11	12
0D3E	提	0	11	12
0D41	碇	0	11	12
0D43	程	0	11	12
0D44	締	0	11	12
0D46	訂	0	11	12
0D48	蹄	0	11	12
0D4A	邸	0	11	12
0D51	敵	0	11	12
0D52	滴	0	11	12
0D53	的	0	11	12
0D54	笛	0	11	12
0D55	適	0	11	12
0D59	徹	0	11	12
0D5D	鉄	0	11	12
0D5E	典	0	11	12
0D60	天	0	11	12
0D61	展	0	11	12
0D62	店	0	11	12
0D63	添	0	11	12
0D64	纏	0	11	12
0D66	貼	0	11	12
0D67	転	0	11	12
0D69	点	0	11	12
0D6A	伝	0	11	12
0D6B	殿	0	11	12
0D6D	田	0	10	11
0D6E	電	0	11	12
0D6F	兎	0	11	12
0D70	吐	0	11	12
0D72	塗	0	11	12
0D73	妬	0	11	12
0D74	屠	0	11	12
0D75	徒	0	11	12
0D76	斗	0	11	12
0D77	杜	0	11	12
0D78	渡	0	11	12
0D79	登	0	11	12
0D7B	賭	0	11	12
0D7C	途	0	11	12
0D7D	都	0	11	12
0D81	努	0	11	12
0D82	度	0	11	12
0D83	土	0	11	12
0D84	奴	0	11	12
0D85	怒	0	11	12
0D86	倒	0	11	12
0D87	党	0	11	12
0D88	冬	0	11	12
0D8A	凍	0	11	12
0D8B	刀	0	10	11
0D8C	唐	0	11	12
0D8D	塔	0	11	12
0D91	島	0	11	12
0D93	悼	0	11	12
0D94	投	0	11	12
0D95	搭	0	11	12
0D96	東	0	11	12
0D98	梼	0	11	12
0D9A	盗	0	11	12
0D9E	灯	0	11	12
0DA0	当	1	9	10
0DA3	等	0	11	12
0DA4	答	0	11	12
0DA6	糖	0	11	12
0DA7	統	0	11	12
0DAC	討	0	11	12
0DAF	踏	0	11	12
0DB0	逃	0	11	12
0DB1	透	0	11	12
0DB4	頭	0	11	12
0DB6	闘	0	11	12
0DB7	働	0	11	12
0DB8	動	0	11	12
0DB9	同	0	11	12
0DBA	堂	0	11	12
0DBB	導	0	11	12
0DBC	憧	0	11	12
0DBE	洞	0	11	12
0DBF	瞳	0	11	12
0DC0	童	0	11	12
0DC1	胴	0	11	12
0DC3	道	0	11	12
0DC4	銅	0	11	12
0DC8	得	0	11	12
0DC9	徳	0	11	12
0DCA	涜	0	11	12
0DCB	特	0	11	12
0DCC	督	0	11	12
0DCF	毒	0	11	12
0DD0	独	0	11	12
0DD1	読	0	11	12
0DD4	凸	0	11	12
0DD5	突	0	11	12
0DD7	届	0	11	12
0DDA	寅	0	11	12
0DDB	酉	0	10	11
0DE1	沌	0	11	12
0DE2	豚	0	11	12
0DE4	頓	0	11	12
0DE5	呑	0	11	12
0DE6	曇	0	11	12
0DE8	奈	0	11	12
0DE9	那	0	11	12
0DEA	内	0	11	12
0DEE	謎	0	11	12
0DF0	捺	0	11	12
0DF2	楢	0	11	12
0DF4	縄	0	11	12
0DF6	南	0	11	12
0DF7	楠	0	11	12
0DF8	軟	0	11	12
0DF9	難	0	11	12
0DFA	汝	0	11	12
0DFB	二	0	11	12
0DFF	匂	0	11	12
0E01	肉	0	11	12
0E02	虹	0	11	12
0E04	日	1	8	9
0E05	乳	0	11	12
0E06	入	0	11	12
0E07	如	0	11	12
0E08	尿	0	11	12
0E0A	任	0	11	12
0E0B	妊	0	11	12
0E0C	忍	0	11	12
0E0D	認	0	11	12
0E13	猫	0	11	12
0E14	熱	0	11	12
0E15	年	0	11	12
0E16	念	0	11	12
0E19	燃	0	11	12
0E1A	粘	0	11	12
0E1D	之	0	11	12
0E20	悩	0	11	12
0E21	濃	0	11	12
0E22	納	0	11	12
0E23	能	0	11	12
0E24	脳	0	11	12
0E26	農	0	11	12
0E2A	把	0	11	12
0E2C	覇	0	11	12
0E2E	波	0	11	12
0E2F	派	0	11	12
0E30	琶	0	11	12
0E31	破	0	11	12
0E32	婆	0	11	12
0E35	馬	0	11	12
0E37	廃	0	11	12
0E38	拝	0	11	12
0E39	排	0	11	12
0E3A	敗	0	11	12
0E3B	杯	0	11	12
0E3C	盃	0	11	12
0E3E	背	0	11	12
0E40	輩	0	11	12
0E41	配	0	11	12
0E42	倍	0	11	12
0E43	培	0	11	12
0E44	媒	0	11	12
0E49	狽	0	11	12
0E4A	買	0	10	11
0E4B	売	0	11	12
0E4E	這	0	11	12
0E4F	蝿	0	11	12
0E50	秤	0	11	12
0E54	剥	0	11	12
0E55	博	0	11	12
0E56	拍	0	11	12
0E58	泊	0	11	12
0E59	白	1	9	10
0E5D	薄	0	11	12
0E5E	迫	0	11	12
0E60	漠	0	11	12
0E61	爆	0	11	12
0E62	縛	0	11	12
0E65	麦	0	11	12
0E67	箱	0	11	12
0E6A	肇	0	11	12
0E6D	幡	0	11	12
0E70	畠	1	9	10
0E71	八	0	11	12
0E72	鉢	0	11	12
0E74	発	0	11	12
0E76	髪	0	11	12
0E78	罰	0	11	12
0E79	抜	0	11	12
0E7C	鳩	0	11	12
0E80	隼	0	11	12
0E81	伴	0	11	12
0E82	判	0	11	12
0E83	半	0	11	12
0E84	反	0	11	12
0E87	搬	0	11	12
0E88	斑	0	11	12
0E89	板	0	11	12
0E8A	氾	0	11	12
0E8C	版	0	11	12
0E8D	犯	0	11	12
0E8E	班	0	11	12
0E8F	畔	0	11	12
0E90	繁	0	11	12
0E91	般	0	11	12
0E94	範	0	11	12
0E96	煩	0	11	12
0E98	飯	0	11	12
0E9B	番	0	11	12
0E9F	蛮	0	11	12
0EA1	卑	0	11	12
0EA2	否	0	11	12
0EA3	妃	0	11	12
0EA5	彼	0	11	12
0EA6	悲	0	11	12
0EA7	扉	0	11	12
0EA9	披	0	11	12
0EAA	斐	0	11	12
0EAB	比	0	11	12
0EAC	泌	0	11	12
0EAD	疲	0	11	12
0EAE	皮	0	11	12
0EB0	秘	0	11	12
0EB3	肥	0	11	12
0EB4	被	0	11	12
0EB6	費	0	11	12
0EB7	避	0	11	12
0EB8	非	0	11	12
0EB9	飛	0	11	12
0EBC	備	0	11	12
0EBD	尾	0	11	12
0EBE	微	0	11	12
0EC0	毘	0	11	12
0EC1	琵	0	11	12
0EC2	眉	0	11	12
0EC3	美	0	11	12
0EC4	鼻	0	11	12
0EC5	柊	0	11	12
0EC6	稗	0	11	12
0EC7	匹	0	11	12
0EC8	疋	0	11	12
0EC9	髭	0	11	12
0ECA	彦	0	11	12
0ECB	膝	0	11	12
0ECC	菱	0	11	12
0ECF	必	0	11	12
0ED4	姫	0	11	12
0ED7	百	0	11	12
0EDB	標	0	11	12
0EDC	氷	0	11	12
0EDE	瓢	0	11	12
0EE0	表	0	11	12
0EE2	豹	0	11	12
0EE4	描	0	11	12
0EE5	病	0	11	12
0EE6	秒	0	11	12
0EED	品	0	11	12
0EF0	浜	0	11	12
0EF1	瀕	0	11	12
0EF2	貧	0	11	12
0EF4	頻	0	11	12
0EF7	不	0	11	12
0EF8	付	0	11	12
0EFA	夫	0	11	12
0EFB	婦	0	11	12
0EFC	富	0	11	12
0EFE	布	0	11	12
0EFF	府	0	11	12
0F00	怖	0	11	12
0F02	敷	0	11	12
0F04	斧	0	11	12
0F05	普	0	11	12
0F06	浮	0	11	12
0F07	父	0	11	12
0F08	符	0	11	12
0F09	腐	0	11	12
0F0D	負	1	9	10
0F0E	賦	0	11	12
0F14	武	0	11	12
0F15	舞	0	11	12
0F18	部	0	11	12
0F19	封	0	11	12
0F1A	楓	0	11	12
0F1B	風	0	11	12
0F1E	伏	0	11	12
0F1F	副	0	11	12
0F20	復	0	11	12
0F22	服	0	11	12
0F23	福	0	11	12
0F24	腹	0	11	12
0F25	複	0	11	12
0F26	覆	0	11	12
0F27	淵	0	11	12
0F29	払	0	11	12
0F2A	沸	0	11	12
0F2B	仏	0	11	12
0F2C	物	0	11	12
0F2E	分	0	11	12
0F30	噴	0	11	12
0F37	糞	0	11	12
0F38	紛	0	11	12
0F3A	文	0	11	12
0F3B	聞	0	11	12
0F3E	兵	0	11	12
0F41	平	0	11	12
0F43	柄	0	11	12
0F44	並	0	10	11
0F46	閉	0	11	12
0F48	米	0	11	12
0F4B	壁	0	11	12
0F4D	碧	0	11	12
0F4E	別	0	11	12
0F52	偏	0	11	12
0F53	変	0	11	12
0F54	片	0	11	12
0F56	編	0	11	12
0F57	辺	0	11	12
0F58	返	0	11	12
0F5A	便	0	11	12
0F5D	弁	0	11	12
0F5E	鞭	0	11	12
0F5F	保	0	11	12
0F63	捕	0	11	12
0F64	歩	0	11	12
0F66	補	0	11	12
0F6A	墓	0	11	12
0F6C	戊	0	11	12
0F6D	暮	0	11	12
0F6E	母	0	11	12
0F70	菩	0	11	12
0F72	俸	0	11	12
0F73	包	0	11	12
0F75	報	0	11	12
0F76	奉	0	11	12
0F77	宝	0	11	12
0F7A	崩	0	11	12
0F7C	抱	0	11	12
0F7D	捧	0	11	12
0F7E	放	0	11	12
0F7F	方	0	11	12
0F81	法	0	11	12
0F84	砲	0	11	12
0F86	胞	0	11	12
0F8A	蜂	0	11	12
0F8C	訪	0	11	12
0F8D	豊	0	11	12
0F94	亡	0	11	12
0F99	帽	0	11	12
0F9A	忘	0	11	12
0F9B	忙	0	11	12
0F9C	房	0	11	12
0F9D	暴	0	11	12
0F9E	望	0	11	12
0FA0	棒	0	11	12
0FA2	紡	0	11	12
0FA4	膨	0	11	12
0FA5	謀	0	11	12
0FA9	防	0	11	12
0FAA	吠	0	11	12
0FAC	北	0	11	12
0FAD	僕	0	11	12
0FAE	卜	5	4	5
0FAF	墨	0	11	12
0FB2	牧	0	11	12
0FB7	没	0	11	12
0FBB	奔	0	11	12
0FBC	本	0	11	12
0FC1	摩	0	11	12
0FC2	磨	0	11	12
0FC3	魔	0	11	12
0FC4	麻	0	11	12
0FC5	埋	0	11	12
0FC6	妹	0	11	12
0FC8	枚	0	11	12
0FC9	毎	0	11	12
0FCE	枕	0	11	12
0FD5	又	0	11	12
0FD6	抹	0	11	12
0FD7	末	0	11	12
0FDD	万	0	11	12
0FDE	慢	0	11	12
0FDF	満	0	11	12
0FE1	蔓	0	11	12
0FE2	味	0	11	12
0FE3	未	0	11	12
0FE4	魅	0	11	12
0FE5	巳	0	11	12
0FE8	密	0	11	12
0FE9	蜜	0	11	12
0FED	脈	0	11	12
0FEE	妙	0	11	12
0FF0	民	0	11	12
0FF1	眠	0	11	12
0FF2	務	0	11	12
0FF3	夢	0	11	12
0FF4	無	0	11	12
0FF6	矛	0	11	12
0FF7	霧	0	11	12
0FF8	鵡	0	11	12
